"numer";"Funkcja / zadanie / podzadanie
";"Dysponent
";"Część
";"Cel
";"Miernik
";;;"Przewidywane wydatki w 2012 r. (w tys. zł)
";"nation";"eu"
"2.4.1";"2.4.1. Działalność ratownicza i gaśnicza
";"Ministerstwo Spraw
Wewnętrznych i Administracji
";42;"Zapewnienie funkcjonowania systemu ratowniczego oraz poprawa skuteczności
";"Średni czas podjęcia interwencji
";"10 minut
";"nie dłuŜej niŜ 10 minut
";217313;"215 932
";"1 381
"
"2.4.1";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";"1  887 632
";"1  878 020
";"9 612
"
"2.4.2";"2.4.2. Rozpoznawanie zagroŜeń i działalność
profilaktyczna
";"Ministerstwo Spraw
Wewnętrznych i Administracji
";42;"Zapobieganie zagroŜeniom poŜarowym oraz przeciwdziałanie powaŜnym awariom przemysłowym
";"Liczba skontrolowanych obiektów do ogólnej liczby obiektów, wymagających kontroli
";"63%
";"nie mniej niŜ 49 %
";"1 242
";"1 172
";70
"2.4.2";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";"131 486
";"130 174
";"1 312
"
"2.5";"2.5. Zarządzanie kryzysowe i obrona cywilna
";"Ministerstwo Kultury i
Dziedzictwa Narodowego
";24;"Upowszechnianie zasad ochrony zabytków na wypadek konfliktu zbrojnego zgodnie z prawem międzynarodowym
";"Współorganizacja i prowadzenie Polskiej Szkoły Międzynarodowego Prawa Humanitarnego Konfliktów Zbrojnych
";1;1;50;50;0
"2.5";;"Ministerstwo Edukacji
Narodowej
";30;"Przygotowanie urzędu do skutecznej realizacji zadań w sytuacjach kryzysowych
";"%  wskaźnik liczby zrealizowanych przedsięwzięć rzeczowo-finansowych wynikających z Programu Doskonalenia Obrony Cywilnej na lata 2009-2018
";"21%
";"44%
";136;136;0
"2.5";;"Ministerstwo Środowiska
";41;"Utrzymanie zdolności administracji publicznej do zarządzania kryzysowego
";"Liczba zrealizowanych zadań
";26;35;81;81;0
"2.5";;"Ministerstwo Spraw
Wewnętrznych i Administracji
";42;"Zapewnienie sprawności działania jednostek obrony cywilnej i zarządzania kryzysowego.
";"Liczba kontroli oceniających realizację wojewódzkich planów obrony cywilnej w zakresie: oceny zagroŜeń; osiągania wyŜszych stanów gotowości, zabezpieczenia materiałowo-sprzętowego, planów ewakuacji.
";0;2;"10 705
";"10 705
";0
"2.5";;"Wojewodowie
";85;"Zapewnienie sprawnego i skutecznego działania wszystkich podmiotów zarządzania i reagowania kryzysowego oraz poprawa bezpieczeństwa na obszarze województwa
";"Ocena współdziałania, ocena sprawności i skuteczności działania podmiotów zarządzania kryzysowego oraz ocena funkcjonowania wojewódzkiego systemu łączności w sytuacjach kryzysowych (w skali 1-5)
";"-
";375;"2  120 030
";"2  120 030
";0
"2.5.1";"2.5.1. Koordynacja przedsięwzięć z zakresu zarządzania kryzysowego i przeciwdziałanie zagroŜeniom terrorystycznym
";"Ministerstwo Kultury i
Dziedzictwa Narodowego
";24;"Upowszechnianie wiedzy wśród kadry kierowniczej o zarządzaniu kryzysowym
";"Liczba osób przeszkolonych z zakresu zarządzania kryzysowego / Ogólna liczba kadry kierowniczej (%)
";20;50;40;40;0
"2.5.1";;"Ministerstwo Edukacji
Narodowej
";30;"Zapewnienie warunków do sprawnego i skutecznego zarządzania sytuacjami kryzysowymi oraz przeciwdziałania zagroŜeniom terrorystycznym
";"% wskaźnik liczby zrealizowanych w danym roku kalendarzowym przedsięwzięć z zakresu zarządzania kryzysowego, wynikających z Programu Doskonalenia Obrony Cywilnej na lata 2009-2018
";"100%
";"100%
";65;65;0
"2.5.1";;"Ministerstwo Środowiska
";41;"Utrzymanie zdolności pracowników i struktur administracji publicznej do realizacji przedsięwzięć
";"Liczba zrealizowanych przedsięwzięć
";26;35;81;81;0
"2.5.1";;"Ministerstwo Spraw
Wewnętrznych i Administracji
";42;"Zapewnienie gotowości do podjęcia działań z tytułu zagroŜenia bezpieczeństwa ludzi, mienia lub środowiska
";"Liczba zaktualizowanych procedur definiujacych zasady wymiany informacji pomiędzy podmiotami zarządzania kryzysowego a RCB
";"50%
";"70%
";"6 748
";"6 748
";0
"2.5.1";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";"18 648
";"18 648
";0
"2.5.2";"2.5.2. Przeciwdziałanie i usuwanie skutków klęsk
Ŝywiołowych
";"Ministerstwo Spraw
Wewnętrznych i Administracji
";42;"Budowa, odbudowa, modernizacja i remont infrastruktury technicznej zniszczonej lub uszkodzonej w wyniku klesk Ŝywiołowych oraz infrastruktury technicznej słuŜącej zapobieganiu lub minimalizowaniu skutków klęsk zywiołowych
";"Wykonanie zadan majacych na celu usuwanie skutków klęsk Ŝywiołowych w stosunku do zniszczeń
";"28%
";"53%
";"1 542
";"1 542
";0
"2.5.2";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";654;654;0
"2.5.3";"2.5.3. Obrona cywilna
";"Ministerstwo Kultury i
Dziedzictwa Narodowego
";24;"Przygotowanie formacji OC Ministerstwa do realizacji zadań
";"Liczba potrzeb szkoleniowych wynikających z bieŜącej realizacji zadań formacji OC
";2;2;10;10;0
"2.5.3";;"Ministerstwo Edukacji
Narodowej
";30;"Przygotowanie MEN do sprawnej realizacji zadań z zakresu obrony cywilnej
";"% wskaźnik liczby zrealizowanych w danym roku kalendarzowym przedsięwzięć z zakresu obrony cywilnej, wynikających z Programu Doskonalenia Obrony Cywilnej na lata 2009-2018
";"100%
";"100%
";71;71;0
"2.5.3";;"Ministerstwo Spraw
Wewnętrznych i Administracji
";42;"Zapewnienie sprawnego realizowania zadań obrony cywilnej
";"Liczba kontroli oceniających realizację wojewódzkich planów obrony cywilnej w zakresie:oceny zagroŜen;osiągania wyŜszych stanów gotowości, zabezpieczenia materiałowo-sprzętowego, planów ewakuacji
";0;2;"1 936
";"1 936
";0
"2.5.3";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";"16 805
";"16 805
";0
"2.5.4";"2.5.4. System powiadomienia ratunkowego 112
";"Ministerstwo Spraw
Wewnętrznych i Administracji
";42;"Zapewnienie bezpieczeństwa ludności i reakcji odpowiednich słuŜb na zdarzenie.
";"Liczba interwencji słuŜb/podmiotów podjętych w wyniku wezwania na numery alarmowe wpływające do CPR/WCPR w stosunku do liczby zgłoszeń wymagających podjęcia interwencji.
";"90%
";"90%
";479;479;0
"2.5.4";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";"2  083 923
";"2  083 923
";0
"2.6";"2.6. Ochrona granicy państwowej, kontrola ruchu granicznego i przeciwdziałanie nielegalnej migracji
";"Ministerstwo Spraw
Wewnętrznych i Administracji
";42;"Zapewnianie bezpieczeństwa granicy zewnętrznej UE i terytorium RP ostaz skutecznej kontroli granicznej
";"Płynność kontroli ruchu granicznego - średni czas odprway granicznej jednego pasaŜenia w przejściu drogowym na wjazd w zakresie SG
";"-
";"co najwyŜej 2 minuty
";"1  277 104
";"1  277 104
";0
"2.6";;;42;;"Liczba cudzoziemców, którym Straz Graniczna zorganizowała powrót do kraju trzeciego, do liczby osób, którym wydano decyzje o wydaleniu lub zobowiązaniu
";"93%
";"co najmniej 80%
";;;
"2.6";;"Wojewodowie
";85;"Zapewnienie sprawnego przekraczania granic z zachowaniem warunków skutecznej kontroli
";"Średni czas oczekiwania na odprawę w województwie
";"-
";"30 min.
";"224 793
";"220 427
";"4 366
"
"2.6.1";"2.6.1. Ochrona granicy państwowej
";"Ministerstwo Spraw
Wewnętrznych i Administracji
";42;"Zapewnianie skutecznej ochrony granicy państwowej
";"Procent długości granicy zewnętrznej UE ochranianej pzrez StraŜ Graniczną przy wykorzystaniu stacjonarnych i mobilnych systemów nadzoru
";"53%
";"68%
";"705 842
";"705 842
";0
"2.6.2";"2.6.2. Kontrola ruchu granicznego
";"Ministerstwo Spraw
Wewnętrznych i Administracji
";42;"Zapewnienie wysokiego poziomu realizacji zadań z zakresu kontroli granicznej
";"Procentowy stosunek prawidłowo zrealizowanych czynności zleconych przez uprawnione organy - trafienia w SIS i bazach danych
";"99%
";"co najmniej 99%
";"309 685
";"309 685
";0
"2.6.3";"2.6.3. Zapobieganie nielegalnej migracji
";"Ministerstwo Spraw
Wewnętrznych i Administracji
";42;"Ograniczenie liczby osób przebywających nielegalnie na terytorium RP
";"Procentowy stosunek czynności administracyjnych w odniesieniu do cudzoziemców, zleconych przez wojewodów oraz inne organy do ilości przeprowadzonych
";"100%
";"utrzymanie na poziomie 100%
";"261 353
";"261 353
";0
"2.6.4";"2.6.4. Sprawne funkcjonowanie przejść granicznych
";"Ministerstwo Spraw
Wewnętrznych i Administracji
";42;"X
";"X
";"x
";"x
";224;224;0
"2.6.4";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";"224 793
";"220 427
";"4 366
"
"3";"FUNKCJA 3. EDUKACJA, WYCHOWANIE I OPIEKA
";;;;;;;"53 378 676
";"52 368 661
";"1  010 015
"
"3.1";"3.1. Oświata i wychowanie
";"Ministerstwo Kultury i
Dziedzictwa Narodowego
";24;"Podnoszenie jakości i efektywności kształcenia i wychowania
";"Liczba uczniów, którzy otrzymali promocję do następnej klasy / Liczba uczniów rozpoczynających naukę w danej klasie (%)
";9040;9043;"722 977
";"722 977
";0
"3.1";;"Ministerstwo Edukacji
Narodowej
";30;"Podnoszenie jakości oraz efektywności kształcenia i wychowania
";"Liczba absolwentów poszczególnych typów szkół ponadgimnazjalnych przystępujących odpowiednio do egzaminu potwierdzającego kwalifikacje zawodowe
(1) lub maturalnego (2) w stosunku do liczby absolwentów poszczególnych typów szkół ponadgimnazjalnych (%)
";"1) 88%             2)
90%
";"1) 88%
2) 86%
";"697 348
";"372 027
";"325 321
"
"3.1";;"Ministerstwo Pracy i Polityki
Społecznej
";31;"-
";"-
";"-
";"-
";"139 346
";"139 346
";0
"3.1";;"Ministerstwo Rolnictwa i
Rozwoju Wsi
";32;"Podnoszenie jakości oraz efektywności kształcenia i wychowania
";"Liczba uczniów i słuchaczy kształcących się w szkołach i placówkach rolniczych
";12942;13000;"175 615
";"170 442
";"5 173
"
"3.1";;;32;;"Liczba nauczycieliu szkół i placówek rolniczych
";1737;1750;;;
"3.1";;"Ministerstwo Rolnictwa i
Rozwoju Wsi
";33;"Podniesienie wiedzy i umiejętności nauczycieli w zakresie zrównowaŜonego rozwoju obszarów wiejskich
";"Liczba nauczycieli szkół rolniczych - odbiorców usług edukacyjnych
";219;200;25;25;0
"3.1";;"Ministerstwo Rozwoju
Regionalnego
";34;"Podnoszenie jakości oraz efektywności kształcenia
";"Liczba pracowników wymiaru sprawiedliwości przeszkolonych w ramach projektu
";3844;5976;"7 050
";"1 058
";"5 992
"
"3.1";;"Ministerstwo Sprawiedliwości
";37;"Przygotowanie zawodowe i podnoszenie kwalifikacji kadr sądów i prokuratury
";"Liczba osób, które skorzystały z form doskonalenia i przygotowania zawodowego prowadzonego przez KSSiP w okresie sprawozdawczym
";"-
";13900;"41 137
";"41 137
";0
"3.1";;"Ministerstwo Środowiska
";41;"Podnoszenie jakości oraz efektywności kształcenia i wychowania
";"Liczba osób uprawnionych do wynagrodzenia wynikająca z liczby osób pobierających naukę
";703;677;"46 179
";"46 155
";24
"3.1";;"Ministerstwo Spraw
Wewnętrznych i Administracji
";42;"X
";"X
";"x
";"x
";368;368;0
"3.1";;"Ministerstwo Zdrowia
";46;"Zapewnienie sprawnego funkcjonowania systemu egzaminów zewnetrznych
";"Liczba przeprowadzonych egzaminów medycznych
";160;160;"6 567
";"6 567
";0
"3.1";;"Ministerstwo Finansów
";82;"- ";"- ";;;"38 712 516
";"38 712 516
";0
"3.1";;"Wojewodowie
";85;"Poprawa jakości kształcenia
";"Procent szkół, w których średni wynik egzaminu
gimnazjalnego albo sprawdzianu mieści się w staninach 7-9
";"-
";"24,95%
24,45%
";"172 320
";"171 613
";707
"3.1.1";"3.1.1. Zarządzanie i nadzór nad systemem oświaty
";"Ministerstwo Edukacji
Narodowej
";30;"Podniesienie jakości pracy szkół i placówek oświatowych poprzez  prowadzenie nowoczesnej polityki oświatowej
";"Liczba programów badawczych, w których Polska bierze udział z inicjatywy MEN
";10;10;"28 933
";"13 921
";"15 012
"
"3.1.1";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";"106 007
";"105 786
";221
"3.1.2";"3.1.2. Kształcenie ogólne, zawodowe i ustawiczne
";"Ministerstwo Kultury i
Dziedzictwa Narodowego
";24;"Dostosowanie kształcenia artystycznego do rynku
";"Ilość uczniów przyjętych na nowootwarte kierunki /
rok poprzedni (%)
";10385;11333;"669 484
";"669 484
";0
"3.1.2";;"Ministerstwo Edukacji
Narodowej
";30;"Dostosowanie kształcenia ogólnego, zawodowego i ustawicznego do potrzeb rynku pracy
";"Wydanie dyplomów potwierdzających kwalifikacje zawodowe i świadectw dojrzałości w stosunku do liczby uczniów przystępujących do danego egzaminu (%)
";"63%
";"65%
";"107 744
";"56 313
";"51 431
"
"3.1.2";;"Ministerstwo Pracy i Polityki
Społecznej
";31;"-
";"-
";"-
";"-
";"97 542
";"97 542
";0
"3.1.2";;"Ministerstwo Rolnictwa i
Rozwoju Wsi
";32;"Dostosowanie kształcenia ogólnego, zawodowego i ustawicznego do potrzeb rynku pracy
";"Liczba uczniów i słuchaczy kształcących się w szkołach i placówkach rolniczych
";12942;13000;"173 289
";"168 116
";"5 173
"
"3.1.2";;"Ministerstwo Rozwoju
Regionalnego
";34;"Dostosowanie kształcenia ogólnego, zawodowego i ustawicznego do potrzeb rynku pracy
";"Liczba pracowników wymiaru sprawiedliwości przeszkolonych w ramach projektu
";3844;5976;"7 050
";"1 058
";"5 992
"
"3.1.2";;"Ministerstwo Sprawiedliwości
";37;"Przygotowanie zawodowe i podnoszenie kwalifikacji kadr sądów i prokuratury
";"Liczba osób, które skorzystały z form doskonalenia i przygotowania zawodowego prowadzonego przez KSSiP w okresie sprawozdawczym
";"-
";13900;"41 137
";"41 137
";0
"3.1.2";;"Ministerstwo Środowiska
";41;"Dostosowanie kształcenia zawodowego do potrzeb rynku
";"Liczba absolwentów szkół leśnych w danym roku
";626;604;"39 073
";"39 049
";24
"3.1.2";;"Ministerstwo Spraw
Wewnętrznych i Administracji
";42;"Podnoszenie kwalifikacji zawodowych personelu medycznego zakładów opieki zdrowotnej
";"Liczba organizowanych szkoleń
";200;190;368;368;0
"3.1.2";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";"2 815
";"2 815
";0
"3.1.3";"3.1.3. Kształcenie i doskonalenie nauczycieli oraz kształtowanie ich pragmatyki zawodowej
";"Ministerstwo Kultury i
Dziedzictwa Narodowego
";24;"Zapewnienie nauczycielon zatrudnionym w szkołach i placówkach artystycznych dostępu do róŜnych form kształcenia i doskonalenia zawodowego w kraju i za granicą
";"Liczba przeszkolonych i studiujących nauczycieli w roku bieŜącym / Liczba nauczycieli zatrudnionych w szkołach i placówkach prowadzonych przez MKiDN w roku bieŜącym (%)
";2676;2327;"6 263
";"6 263
";0
"3.1.3";;"Ministerstwo Edukacji
Narodowej
";30;"Zapewnienie nauczycielom zatrudnionym w szkołach i placówkach systemu oświaty dostępu do róŜnych form doskonalenia zawodowego w kraju i zagranicą
";"Liczba nauczycieli kończących róŜne formy doskonalenia dofinansowywanych z budŜetu MEN w stosunku do liczby nauczycieli ogółem (w %)
";"15,95%
";"6,5%
";"155 591
";"55 899
";"99 692
"
"3.1.3";;"Ministerstwo Rolnictwa i
Rozwoju Wsi
";32;"Zapewnienie nauczycielom zatrudnionym w szkołach i placówkach systemu oświaty dostępu do róŜnych form doskonalenia zawodowego w kraju i zagranicą
";"Liczba nauczycieli szkół i placówek rolniczych
";1737;1750;"1 582
";"1 582
";0
"3.1.3";;"Ministerstwo Rolnictwa i
Rozwoju Wsi
";33;"Podniesienie wiedzy i umiejętności nauczycieli w zakresie zrównowaŜonego rozwoju obszarów wiejskich
";"Liczba nauczycieli szkół rolniczych - odbiorców usług edukacyjnych
";219;200;25;25;0
"3.1.3";;"Ministerstwo Środowiska
";41;"Zapewnienie nauczycielom zatrudnionym w szkołach leśnych dostępu do róŜnych form doskonalenia zawodowego
";"Liczba nauczycieli podnoszących kwalifikacje zawodowe w danym roku
";66;69;249;249;0
"3.1.3";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";"19 422
";"19 422
";0
"3.1.4";"3.1.4. Egzaminowanie zewnętrzne
";"Ministerstwo Edukacji
Narodowej
";30;"Diagnoza osiągnięć edukacyjnych uczniów na poszczególnych etapach kształcenia
";"Liczba absolwentów szkół ponadgimnazjalnych, którzy zdali odpowiednio egzamin potwierdzający kwalifikacje zawodowe (1) lub egzamin maturalny (2) w stosunku do liczby absolwentów szkół ponadgimnazjalnych przystępujących do egzaminów
";"1) 63%    2) 80%
";"1) 63%    2) 82%
";"239 156
";"199 809
";"39 347
"
"3.1.4";;"Ministerstwo Zdrowia
";46;"Zapewnienie sprawnego funkcjonowania systemu egzaminów zewnetrznych
";"Liczba przeprowadzonych egzaminów medycznych
";160;160;"6 567
";"6 567
";0
"3.1.4";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";"2 248
";"2 248
";0
"3.1.5";"3.1.5. Wspieranie dzieci i młodzieŜy ze specjalnymi potrzebami edukacyjnymi, w tym uczniów zdolnych
";"Ministerstwo Edukacji
Narodowej
";30;"Tworzenie warunków organizacyjno-
prawnych sprzyjających rozwojowi dzieci i młodzieŜy ze specjalnymi potrzebami edukacyjnym, w tym uczniow zdolnych
";"Odsetek powiatów, w których uczniowie uczestniczyli w co najmniej trzech róŜnych olimpiadach dających uprawnienia w systemie egzaminacyjnym
";"70%
";"75%
";"56 873
";"17 159
";"39 714
"
"3.1.5";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";"6 624
";"6 624
";0
"3.1.6";"3.1.6. Edukacja pozalekcyjna i pozaszkolna
";"Ministerstwo Edukacji
Narodowej
";30;"Rozszerzenie i pogłębianie wiedzy oraz umiejętności dzieci i młodzieŜy, kształtowanie ich postaw, uzdolnień oraz zainteresowań
";"Liczba ostatecznych beneficjentów działań (w tysiącach)
";1700;1700;"107 959
";"27 834
";"80 125
"
"3.1.6";;"Ministerstwo Pracy i Polityki
Społecznej
";31;"-
";"-
";"-
";"-
";"1 119
";"1 119
";0
"3.1.6";;"Ministerstwo Rolnictwa i
Rozwoju Wsi
";32;"Rozszerzanie i pogłębianie wiedzy oraz umiejętności dzieci i młodzieŜy, kształtowanie ich postaw, uzdolnień oraz zainteresowań
";"Liczba realizowanych zadań
";6;6;524;524;0
"3.1.6";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";"31 878
";"31 878
";0
"3.1.7";"3.1.7. Wspieranie działalności edukacyjno- wychowawczej
";"Ministerstwo Kultury i
Dziedzictwa Narodowego
";24;"Zapewnienianie własciwej opieki dzieciom i młodzieŜy
";"Liczba wychowanków internatów i burs / liczba wychowawców (opiekunów)
";1011;1011;"27 430
";"27 430
";0
"3.1.7";;"Ministerstwo Edukacji
Narodowej
";30;"Zapewnienie sprawnego funkcjonowania szkół i placówek systemu oświaty oraz placówek opiekuńczo – wychowawczych
";"Liczba uczniów objętych wsparciem edukacyjnym do liczby uczniów ogółem (%)
";"16%
";"20%
";508;508;0
"3.1.7";;"Ministerstwo Pracy i Polityki
Społecznej
";31;"-
";"-
";"-
";"-
";"40 685
";"40 685
";0
"3.1.7";;"Wojewodowie
";85;"-
";"-
";"-
";"-
";"2 276
";"1 790
";486
"3.1.8";"3.1.8. Wspomaganie JST w finansowaniu zadań oświatowych poprzez część oświatową subwencji ogólnej
";"Ministerstwo Edukacji
Narodowej
";30;"Zapewnienie podziału części oświatowej subwencji ogólnej pomiędzy JST
";"Wartość logiczna: TAK lub NIE
";"TAK
";"TAK
";584;584;0
"3.1.8";;"Ministerstwo Finansów
";82;"-
";"-
";"-
";"-
";"38 712 516
";"38 712 516
";0
"3.1.9";"3.1.9. Utrzymanie i rozbudowa infrastruktury systemu oświaty
";"Ministerstwo Kultury i
Dziedzictwa Narodowego
";24;"Zapewnienie odpowiedniej bazy dydaktycznej i socjalnej do procesów edukacyjno-wychowawczych
";"Liczba prowadzonych zadań inwestycyjnych
";8;39;"19 800
";"19 800
";0
"3.1.9";;"Ministerstwo Rolnictwa i
Rozwoju Wsi
";32;"Wspomaganie materialne szkól i placówek rolniczych, w tym prowadzonych przez jednostki samorządu terytorialnego w zakresie zajęć praktycznych i stosowania nowoczesnych technik i technologii w procesie kształcenia zawodowego
";"Liczba realizowanych umów
";3;5;220;220;0
